alias,F1.predictive_gain.primary.h12.mean,F1.predictive_gain.primary.h12.range,F1.predictive_gain.primary.h4.mean,F1.predictive_gain.primary.h4.range,F1.predictive_gain.primary.h8.mean,F1.predictive_gain.primary.h8.range,F1.predictive_gain.replication.h12.mean,F1.predictive_gain.replication.h12.range,F1.predictive_gain.replication.h4.mean,F1.predictive_gain.replication.h4.range,F1.predictive_gain.replication.h8.mean,F1.predictive_gain.replication.h8.range,F1.residual_uncertainty.primary.h12.mean,F1.residual_uncertainty.primary.h12.range,F1.residual_uncertainty.primary.h4.mean,F1.residual_uncertainty.primary.h4.range,F1.residual_uncertainty.primary.h8.mean,F1.residual_uncertainty.primary.h8.range,F1.residual_uncertainty.replication.h12.mean,F1.residual_uncertainty.replication.h12.range,F1.residual_uncertainty.replication.h4.mean,F1.residual_uncertainty.replication.h4.range,F1.residual_uncertainty.replication.h8.mean,F1.residual_uncertainty.replication.h8.range,F1.retention.primary.w5.mean,F1.retention.primary.w5.range,F1.retention.primary.w7.mean,F1.retention.primary.w7.range,F1.retention.primary.w9.mean,F1.retention.primary.w9.range,F1.retention.replication.w5.mean,F1.retention.replication.w5.range,F1.retention.replication.w7.mean,F1.retention.replication.w7.range,F1.retention.replication.w9.mean,F1.retention.replication.w9.range,F2.commutator_history_gain.max,F2.commutator_history_gain.mean,F2.commutator_history_gain.min,F2.commutator_history_gain.range,F3.compatible_partner_fraction,F3.forced_domain_fraction,F3.forced_one_fraction,F3.mean_additional_pins_compatible,F3.mean_conflicting_keys_all_partners,F3.mean_shared_keys_all_partners,F3.mean_shared_keys_compatible,F3.nonvacuous_given_compatible,F3.occupied_partner_fraction
anon_079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21180972366447812,0.09046829346380683,0.15443905933417446,0.15087443264266903,0.19481965517393038,0.16239183574552862,0.2676893037197796,0.05984488707695024,0.25677108050346326,0.11050707037638943,0.3055934696105231,0.11973980906141429,0.0,0.0,0.0,0.0,0.48627450980392156,0.009392960753188462,0.26456876456876455,1182.3629032258063,1.0784313725490196,22.423529411764704,28.112903225806452,0.5161290322580645,0.25098039215686274
anon_016,0.15043597575711531,0.000925184477593266,0.10648962872104573,0.0005108837112528519,0.13622526336646812,0.0010894853041585328,0.15401541301178256,0.0016616815578498478,0.1069346045449216,0.0011620180253349988,0.13764229697917957,0.0013751171728123568,0.7579554944789717,0.0011249932619886716,0.8102673199133611,0.0007360935751457021,0.7798341620271592,0.0013150790399800716,0.7574244614942147,0.0019937881868631324,0.8091144959129268,0.0015826105820959668,0.7780253204475487,0.0017947314321883345,-0.1805270169154424,0.02721273352972109,-0.1334641214685889,0.04734836834525148,-0.12185774991658388,0.05256787256438747,-0.18483430828217887,0.00984354538297702,-0.1429697224890504,0.017723652964426073,-0.13183094732011516,0.02014264480254163,0.0005200436915845374,0.00046860156488111776,0.0004341576845292572,8.588600705528027e-05,0.7607843137254902,0.016169467403798786,0.42586323628977657,1204.2061855670104,0.5686274509803921,28.333333333333332,13.24742268041237,0.5515463917525774,0.4196078431372549
anon_046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021926697873736033,0.10915154182750461,-0.3935486092318204,0.3179657861156942,-0.5185096942335828,0.37504018980098924,0.01859945891461836,0.04471633281588839,-0.2514007696642467,0.18744804978346935,-0.3568723343909968,0.18807630511360096,0.0,0.0,0.0,0.0,0.4666666666666667,0.010378236356669769,0.3227848101265823,1158.1176470588234,1.223529411764706,26.823529411764707,35.69747899159664,0.6470588235294118,0.30196078431372547
anon_054,-0.07207907801833457,0.07815481932232493,0.09918081268221651,0.01002410973403578,0.08978824519351347,0.005558736085027771,-0.06575042144833448,0.010272804712993078,0.082064461393284,0.0024373512769430006,0.07086497348574633,0.0031371202599191905,0.46681727092316716,0.01486551386031093,0.5462058913650213,0.0036542613109999955,0.5304791357596161,0.00021819125997590838,0.5051994817707472,0.008347015172578187,0.54437075252442,0.0005738839413753638,0.5386339952236741,0.0038985942682597807,-0.29400955943548046,0.026179629926842085,-0.4956894421514408,0.11275360890789116,-0.5680867044135157,0.1481546836032393,-0.28495576640630654,0.012414215908553072,-0.45011870402005694,0.06470912216187502,-0.5051760006109046,0.12921012488204547,0.013732271375858418,0.011735355692752747,0.009047205387228807,0.004685065988629611,0.8784313725490196,0.012294050030105643,0.45592163846838824,1182.267857142857,0.2235294117647059,32.14509803921569,30.736607142857142,0.5,0.4392156862745098
anon_004,0.7878811683046936,0.029583230613125955,0.7723558965938964,0.01323223385935901,0.7929654764781082,0.02579514412566064,0.772553483933133,0.0072673690079944064,0.7346658097356796,0.019325180502098638,0.7697123835392717,0.005768540816688095,0.08017812873998176,0.026808046554686618,0.11358892468734494,0.01312798701305852,0.08869130159503597,0.023310520663251122,0.09966567658386809,0.00011233449471659274,0.13965419502800602,0.010494051845540059,0.10252258769675793,0.0013232898193626802,-0.36175717493234333,0.08534919776128735,-0.181907506647404,0.01687544481678055,-0.13954931723483233,0.017293830384051828,-0.33282959654087846,0.10382901776236636,-0.1736267408199319,0.018752876681160963,-0.13118976360401716,0.017119644640982146,0.13787208293571812,0.0884613661579776,0.04116388130371351,0.09670820163200461,0.45098039215686275,0.013662488368274125,0.46794871794871795,1182.9565217391305,1.0784313725490196,21.811764705882354,13.460869565217392,0.5130434782608696,0.23137254901960785
anon_035,-0.7305069754665605,0.124438687918343,0.11681674266754039,0.0017682351521468576,0.10018884460729915,0.006465002178764223,-0.35893387263943133,0.07767559959660164,0.11361684784638093,0.009762889434093092,0.1118787596477554,0.011593572945441943,0.4968466426451824,0.03261463421445526,0.797438218209832,0.0029070524201952885,0.7490750600313172,0.004700116452200365,0.6241236814247002,0.019457305704086325,0.8018597791594706,0.00821883037847837,0.7670927228494969,0.012400941768355711,-0.22081133530478483,0.06692831331533572,-0.1635935883587296,0.05778112292572371,-0.07880730161369177,0.04358341924962605,-0.20861218275319313,0.03807294634586228,-0.15181334709911357,0.05147030462337207,-0.07139369629236654,0.04857825883420565,0.34776606031974966,0.31437457631239846,0.2911926321021204,0.056573428217629285,0.8,0.017154743007280093,0.47415443522654754,1196.2058823529412,0.39215686274509803,27.533333333333335,9.382352941176471,0.39705882352941174,0.3176470588235294
anon_041,0.25348525016337153,0.02547199129606309,0.2749623957819144,0.05027776103873699,0.2746879732551559,0.04966129503035954,0.27473248133058553,0.032338096885500045,0.2826423610171491,0.033809535967473825,0.2821706912199058,0.032898345539966845,0.38812915243738877,0.002467992413645148,0.4011844109123738,0.006516849754312104,0.39800624926704886,0.005660286872368414,0.39300521614483985,0.002641249417922875,0.40253609338704865,0.0031325977356869705,0.40009824702540564,0.0019953570859257974,0.13176288179899912,0.1286238207435025,0.15573149594797064,0.18362109926309805,0.17436791114517755,0.22574636765668077,0.14061066033337796,0.08729744604605687,0.1532825510242006,0.12961952249551006,0.16891357360927095,0.145745563075162,0.0030049511722014532,-0.002564537869694572,-0.005383011118351044,0.008387962290552498,0.47843137254901963,0.010378236356669769,0.39556962025316456,1181.672131147541,1.2470588235294118,19.294117647058822,17.950819672131146,0.5163934426229508,0.24705882352941178
anon_088,0.5520114224488228,0.04340043898801216,0.5520114224488228,0.04340043898801216,0.5520114224488228,0.04340043898801216,0.5187043009997572,0.04588847907749871,0.5187043009997572,0.04588847907749871,0.5187043009997572,0.04588847907749871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.602312650868331,0.19678974886486367,-0.6610699789446765,0.27869822958196466,-0.758019594879241,0.313051048507094,-0.6678258213671772,0.2460005450077017,-0.7526574631503259,0.3433166551019018,-0.8589791999438225,0.38451923969086066,0.04088325084494693,0.03718899381669166,0.031457539112987876,0.009425711731959052,0.8392156862745098,0.012491105150801905,0.2506573181419807,1202.271028037383,0.2901960784313726,30.521568627450982,23.44859813084112,0.5514018691588785,0.4627450980392157
anon_076,0.976673348693488,0.01713822974183421,0.976673348693488,0.01713822974183421,0.976673348693488,0.01713822974183421,0.9465303320158847,0.033603157332265376,0.9465303320158847,0.033603157332265376,0.9465303320158847,0.033603157332265376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463636170210351,0.23489846894219776,0.24895981552109628,0.28999321391205746,0.27072687148584107,0.3482680500422821,-0.03611495296680002,0.2985064931285223,0.009765372881120652,0.4217876244759561,-0.018322103804191546,0.5147084950398719,-0.03144081556802236,-0.05069219846526677,-0.06981676374351697,0.03837594817549461,0.48627450980392156,0.010509606437133943,0.23333333333333334,1183.5806451612902,0.5254901960784314,20.235294117647058,22.06451612903226,0.6209677419354839,0.30196078431372547
anon_080,-0.016037377866507052,0.00019759233624716543,-5.675517062375679e-05,4.026035159987451e-05,-0.000998667228620742,0.00018901705633012078,-0.007553908391112696,0.0003036849114952389,-5.222628289036635e-05,4.912905562370895e-06,-0.00044555729325179705,5.00385509871748e-06,0.9847730051712185,0.0002766014264490302,0.9999557999229927,3.819939304616771e-05,0.9991379241309135,0.00019135170634343446,0.9921876397017996,0.0003103319862414189,0.9999455445850931,9.412071725778404e-06,0.9994802164252953,9.347060776931926e-06,0.00013496978190181023,0.004721865908380252,-0.0009574868488753586,0.01052926809306785,-0.0006593154014000183,0.01769967609915559,-0.0020203938121609436,0.003046164154614701,-0.0015506788395420357,0.00561128750725066,-0.0009434564945741932,0.0090683177657018,0.002760499374673153,0.002667210288344083,0.002514206868112545,0.0002462925065606081,0.7725490196078432,0.017811593409600965,0.46097111247695144,1203.8984771573605,0.6,27.72156862745098,12.065989847715736,0.5482233502538071,0.4235294117647059
