states,image,fixed,cycles,recurrent,max_period,max_transient,largest_basin,commutator_nonzero,graph_sha256,model,mode,encoding,width,rule_change_recurrent
65536,31450,2192,4592,15120,40,18,256,56720,25bed81312860c60dd7a1390660105b8021f8955d72da4d6a915d17fd5f962a1,ring,frozen,19,8,0
65536,28207,134,182,250,8,31,29880,64289,2177fb10f04d80ccd5639b713eb85d0177cc76abf9df79e8174b1d6703733421,ring,mutual,19,8,113
65536,16844,1,4,8,3,25,52016,64019,bba1818b6ddebb2e8bc571d9085bdb13e1256b94da9529df02da1dcfa746761c,ring,derivative,19,8,2
65536,31450,2192,4592,15120,40,18,256,56720,7a201d54adc43aac00b12d403a7bfc2c63a48e8e3e6c0da13cb058b9e0ffa7d8,ring,frozen,20,8,0
65536,29969,52,71,92,4,30,28406,64527,470a5eb034d530b22960c256cf1517e0329a16e3605791c96a21508b881c265b,ring,mutual,20,8,39
65536,16844,1,6,14,4,36,44294,64059,8391c97078837a68d67a605f09e919b46a9ad26470ef630c03befa08f0f3dcad,ring,derivative,20,8,6
65536,31450,2192,4592,15120,40,18,256,56720,4e1b4b6c024558178bbb7ae3172bbe455bc774a9ad16f38dac15799dfd51e989,ring,frozen,21,8,0
65536,28227,88,147,220,6,31,28384,64337,2c792b62fdccbd13a6320d78c090b57e77ca4cd30056a6fb0cf490a39745bc3d,ring,mutual,21,8,127
65536,16844,1,5,15,4,29,47010,64278,ba809fc6a6155c0e80806ac2fe6664d86bf835aa1d86615f27cabaca970e5ac9,ring,derivative,21,8,9
65536,31450,2192,4592,15120,40,18,256,56720,af09c04796cd77a29c7184469b51f4444e58ff0c8eab1685b9abb2fbcd392cb5,ring,frozen,22,8,0
65536,29870,132,143,154,2,25,33446,64373,1cad4fe8f81431440c2d4c849b00822dcc9415d1c9e72f8e9d92417dad8fba18,ring,mutual,22,8,14
65536,16844,1,8,24,6,27,45477,64005,0cc4a3c32d3d47537b79ad0b9425cdb2d74f93e5fc8059b5cf23689cdbcde6b5,ring,derivative,22,8,12
65536,31450,2192,4592,15120,40,18,256,56720,b4fac6f9fe45200089e240403d03e68083d52e679192d0baef87a8b76dd13705,ring,frozen,23,8,0
65536,29555,108,124,145,4,26,32364,64373,bb2df7db6a80fc6c955872e800c8c4c46a8a48fd05c9ea8f7d7880ae318323aa,ring,mutual,23,8,35
65536,16844,1,7,18,4,27,48168,64066,862a772cbf0bf0032cb7614caa07b400e7b1a26011795f401a5ca88211d5efa2,ring,derivative,23,8,10
512,260,2,27,95,12,5,69,501,9e536ce128c9dca25e26f1a75a383efe40967633dacd98fb3be9776273390be2,selector2d,horizontal,0,3,
65536,29220,2,184,710,12,26,2860,65452,cbe40327b7ef8f7654952f28435a7eb88103c241c2039e2c9f7b413b6f8cfda8,selector2d,horizontal,0,4,
512,269,14,22,38,3,8,409,432,15eb626796fa8a2f78331b3f81fccefbef52480b671a2bc875965245e910694c,selector2d,vertical,0,3,
65536,21964,66,150,342,4,11,61081,63958,91c6ce7a3716ca389dd2b82b6570ad774a01ccfebfb258063f61cdb391b2be52,selector2d,vertical,0,4,
512,272,2,13,35,3,7,79,492,1a04c49d26e32fa250789898ce0b162c4a5fa6179d0f1d67cb483070c71a8896,selector2d,horizontal,1,3,
65536,23502,2,170,642,4,17,3108,65498,9d1c1a091589322e115ad4622d6c9a708b64f77083c7122870d8035b1417e956,selector2d,horizontal,1,4,
512,269,14,22,38,3,8,409,489,83198bf8802ed1d5203b63aecfb9af398fead66744532b34fb1aa996c9db3fd0,selector2d,vertical,1,3,
65536,21964,66,150,342,4,11,61081,65448,7b00595a608473d504559e7ec01da7f94bc55d519e1c1ddc8137407b6e98074d,selector2d,vertical,1,4,
512,233,2,23,65,3,5,115,477,ed70b8d27ec654207914c85c4034140daa008e33de463a70375685c08db422bb,selector2d,horizontal,2,3,
65536,25244,2,162,622,4,11,22329,65262,6fb4edfcea6f8bab62a5e9aec725990dbaa8d4456e11f0f6716b2342c20fd4be,selector2d,horizontal,2,4,
512,260,2,27,95,12,5,69,501,6129cfd61742498af0bd7efdd6ba5f942521b55478ee0fa471685f6bc63bbe99,selector2d,vertical,2,3,
65536,29220,2,184,710,12,26,2860,65452,7ff7f9bb7afc69ffc53df598235348fa94cc10417a26a76e44bb9eb6834aceee,selector2d,vertical,2,4,
512,233,2,23,65,3,5,115,477,ab8705635e561b8a7b22ab0b187ff03a50bb7fe9fff6369fca3491247231cd79,selector2d,horizontal,3,3,
65536,25244,2,162,622,4,11,22329,65460,40c2485ec899f83c99e7612ca2e1cf77137013945f830955848f20ed5b42b10f,selector2d,horizontal,3,4,
512,272,2,13,35,3,7,79,492,76c18d7fedd749eb1da35bc6082c373262ab0b5935217c172583b1a7a0505848,selector2d,vertical,3,3,
65536,23502,2,170,642,4,17,3108,65498,20ac3ecaf3cbae3da5228083f449dcd0fa2f2cbfba0d1eabe06af138ac05e933,selector2d,vertical,3,4,
512,272,2,13,35,3,7,79,486,6e47bc2af61f6bf509ac8e7259c5fde81b07c99df2035af3351aa13c513a8738,selector2d,horizontal,4,3,
65536,23502,2,170,642,4,17,3108,65364,7f8c9af8337f972a1d5fb7407f96fb331a5df53e5738404d517f214ead527567,selector2d,horizontal,4,4,
512,233,2,23,65,3,5,115,477,5888a5cafc4e3d344124ef62e60bdb36880bd25952b85ab608cdfd43ba207bc0,selector2d,vertical,4,3,
65536,25244,2,162,622,4,11,22329,65262,51baeca37285b14bc76f63eb409716c1ddd7276ee26c42e0612f1c3d91b2e34c,selector2d,vertical,4,4,
512,260,2,27,95,12,5,69,492,26609062c37a7c653762dc764b919797ab5ebab50212b27d0d5e859252e734ec,selector2d,horizontal,5,3,
65536,29220,2,184,710,12,26,2860,65410,08994117fa3b983c6eff809cb0647d9c5ae29050c6f60c9ac13fa518b4d1dcb7,selector2d,horizontal,5,4,
512,233,2,23,65,3,5,115,477,430ad6fdd198df3eae1749b864b3931d0dbf35399e128b897228fd41f0c909c1,selector2d,vertical,5,3,
65536,25244,2,162,622,4,11,22329,65460,1c3eafb33c337061356a965bb1be80bf34505783cd6bc7d98d2df96103466521,selector2d,vertical,5,4,
512,269,14,22,38,3,8,409,432,5bf1cf1eace10cf93189d7fb06cd76cb41e934222829f3af5e83b7f04ac67c39,selector2d,horizontal,6,3,
65536,21964,66,150,342,4,11,61081,63958,cbc625c3171ff8276072d9a6c5c5b6a6aad287343be9e46550136a51878adcbe,selector2d,horizontal,6,4,
512,272,2,13,35,3,7,79,486,6db0a97894a316ac15c4592fb7a2d94758a4114be4161ed6858e283af477649a,selector2d,vertical,6,3,
65536,23502,2,170,642,4,17,3108,65364,c8376cc56c9ee866466eaf8b0ddc035ce216d941b232c8e591c5c10fae8cd3ea,selector2d,vertical,6,4,
512,269,14,22,38,3,8,409,489,c4734b87c3e535f4ee70b3fbc2b257642c6903ed7efa2e50a9847e1ce72b861a,selector2d,horizontal,7,3,
65536,21964,66,150,342,4,11,61081,65448,440a56f1a5cdd4f89c3e8f362f8316782486f9d416d78b7e13f8f0103c2c3e68,selector2d,horizontal,7,4,
512,260,2,27,95,12,5,69,492,982b75b9ce30e5d79fcd0b4f2680faa3bce8ac4489a6349765fb55d4d7c0601f,selector2d,vertical,7,3,
65536,29220,2,184,710,12,26,2860,65410,ffb838d5b427be39731edd8711e667827b257537a1345bf51e83eabfb3a78424,selector2d,vertical,7,4,
512,272,2,13,35,3,7,79,486,36ce3d0f6532032f3f82f33a2573b08a3853ef2e5c137be1231d0fdd381ee506,selector2d,horizontal,8,3,
65536,23502,2,170,642,4,17,3108,65364,ee9afdb700e6ea0e51c77b043e9229701c1e2c759b5fe1d3b3282fe689baae77,selector2d,horizontal,8,4,
512,269,14,22,38,3,8,409,432,4e0fc1081217579984a91d271105de195b78cfea3ea3d722564089ed715144c6,selector2d,vertical,8,3,
65536,21964,66,150,342,4,11,61081,63958,7ec34165c8b7bb574063385c6191668e0c92053b2d91c565f8be194ee8c72f7c,selector2d,vertical,8,4,
512,233,2,23,65,3,5,115,477,242d37bb1908597376496eca4547a842f1ee5b450b57138ebbe5634a628e176f,selector2d,horizontal,9,3,
65536,25244,2,162,622,4,11,22329,65460,0a3524f05c93b92cf487af1d77a41ca03ae040c519efef42c76568387ba855ed,selector2d,horizontal,9,4,
512,260,2,27,95,12,5,69,492,6b52c06040f814e55372e18b49aa7eeb98f5e4b52780e682961a174860ef90ea,selector2d,vertical,9,3,
65536,29220,2,184,710,12,26,2860,65410,b56ff24246db1ae80ec7580ca95b207f6357829e2d87e58c78c2a6be6a04b3e6,selector2d,vertical,9,4,
512,233,2,23,65,3,5,115,477,ea14f6ddb27c176b9f36061c7da865d6e6ed4164f885d50e0f3e7e99fc636c6f,selector2d,horizontal,10,3,
65536,25244,2,162,622,4,11,22329,65262,ae26f8327f4edad629b4385cda9a28fc8e23447eadaa484be0748df6f8b118c3,selector2d,horizontal,10,4,
512,272,2,13,35,3,7,79,486,c5b878aafcee7eaf6ba860b3dc383da3c61b9aed254fd0868f222b8ecce3f5c8,selector2d,vertical,10,3,
65536,23502,2,170,642,4,17,3108,65364,6d40fee802947ff9193fb2fb85015bc46032a568ca969930e847b45e6817f9f8,selector2d,vertical,10,4,
512,272,2,13,35,3,7,79,492,6c4038b3a1ed4076431740a76b4bf11874e1b06b6eef84221ad697c97b321daf,selector2d,horizontal,11,3,
65536,23502,2,170,642,4,17,3108,65498,a781b89e4e3a8725616601652a78a7a088af94d16f65e8b9a281376408fdbb6d,selector2d,horizontal,11,4,
512,233,2,23,65,3,5,115,477,063f9182d98dd0ea95c800be70d4bac394ed3eb39fa01c69ddc12a8ab21491b4,selector2d,vertical,11,3,
65536,25244,2,162,622,4,11,22329,65460,3a019602015e3d80b2c9412b4b3f7eb1b6063b2db411beb13df3a117ce1cd630,selector2d,vertical,11,4,
512,260,2,27,95,12,5,69,501,83dd4999993027ac0a802701c144ae6e9542c7fcdcf71794ff4d82c58f9f8a88,selector2d,horizontal,12,3,
65536,29220,2,184,710,12,26,2860,65452,772d638562d8f0506ba00dc0d631cc9c728dbd2912f7de561779b4f967af6510,selector2d,horizontal,12,4,
512,233,2,23,65,3,5,115,477,148ad714541822c04613b128c1860aab8d8f4e918af68ac648b6ec6e58fba9df,selector2d,vertical,12,3,
65536,25244,2,162,622,4,11,22329,65262,2ebe2c9aa240855d3dd2040b633c3b59a78d9750268e856116dc174f57e24fba,selector2d,vertical,12,4,
512,269,14,22,38,3,8,409,489,e7d3bede9b30b0574c74e9fb7cf9e5f2f78aac537f07d1ea1e3f134a60e376ad,selector2d,horizontal,13,3,
65536,21964,66,150,342,4,11,61081,65448,10347b48253acae2fcedd58a3c80e4fd771b416ec906044d401e563623679d4c,selector2d,horizontal,13,4,
512,272,2,13,35,3,7,79,492,9b005d15d3530a3360b035c5b31b501b7522de9226be067a1c749cc6a615145d,selector2d,vertical,13,3,
65536,23502,2,170,642,4,17,3108,65498,2e73ffd6b2a85e28565713e9c23ed8576bf56c75ed4c59febc70966a11547f48,selector2d,vertical,13,4,
512,269,14,22,38,3,8,409,432,50d11ab12adb24a4bdce5b582340938f9eda70fc61aea10ecd5f69b6acc58d0e,selector2d,horizontal,14,3,
65536,21964,66,150,342,4,11,61081,63958,7fa52947eaac9e57265694a7481b8067deed80e3f3cd21246da7b89a76fa9f08,selector2d,horizontal,14,4,
512,260,2,27,95,12,5,69,501,aaa52389ebb38c5cd87fb2f7ae0f96046f2d5d83ffa67fb2a15d862182c7f2ae,selector2d,vertical,14,3,
65536,29220,2,184,710,12,26,2860,65452,a82b06126460ee6202e7ac5548a23c8de999a1e4de9988d9f3b829f91ba9bbe6,selector2d,vertical,14,4,
512,260,2,27,95,12,5,69,492,4b736418823b454891bd19031b23d89ad430564800f041387985faa81ed70384,selector2d,horizontal,15,3,
65536,29220,2,184,710,12,26,2860,65410,692b440f11bb033e0d32e223512c4891f2e2814e4a4d3085ce72d3d6acadeae8,selector2d,horizontal,15,4,
512,269,14,22,38,3,8,409,489,882fc1d27fac9240439a2802ddbc4371db25874e5b79a5dbef34128f29c265fd,selector2d,vertical,15,3,
