A,B,dispatch,trace,K,cycles,shift,useful_inheritance,cases,sum_uncompiled,sum_frozen,sum_replacement_oracle,sum_revision_oracle,sum_replacement_reactive_lex,sum_revision_reactive_lex,sum_replacement_reactive_stay,sum_revision_reactive_stay,revision_oracle_win_uncompiled,revision_oracle_tie_uncompiled,revision_oracle_loss_uncompiled,revision_oracle_win_frozen,revision_oracle_tie_frozen,revision_oracle_loss_frozen,revision_oracle_win_replacement,revision_oracle_tie_replacement,revision_oracle_loss_replacement,revision_reactive_lex_win_uncompiled,revision_reactive_lex_tie_uncompiled,revision_reactive_lex_loss_uncompiled,revision_reactive_lex_win_frozen,revision_reactive_lex_tie_frozen,revision_reactive_lex_loss_frozen,revision_reactive_lex_win_replacement,revision_reactive_lex_tie_replacement,revision_reactive_lex_loss_replacement,revision_reactive_stay_win_uncompiled,revision_reactive_stay_tie_uncompiled,revision_reactive_stay_loss_uncompiled,revision_reactive_stay_win_frozen,revision_reactive_stay_tie_frozen,revision_reactive_stay_loss_frozen,revision_reactive_stay_win_replacement,revision_reactive_stay_tie_replacement,revision_reactive_stay_loss_replacement,replacement_lex_regret_cases,replacement_lex_regret_sum,replacement_lex_regret_max,replacement_stay_regret_cases,replacement_stay_regret_sum,replacement_stay_regret_max,replacement_tie_changes_cost,revision_lex_regret_cases,revision_lex_regret_sum,revision_lex_regret_max,revision_stay_regret_cases,revision_stay_regret_sum,revision_stay_regret_max,revision_tie_changes_cost
0,51,0,0,4,1,unchanged,0,16,320,448,448,448,448,448,448,448,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,4,1,unchanged,0,16,320,448,448,480,448,480,448,480,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,4,1,unchanged,0,16,320,448,448,512,448,512,448,512,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,4,1,unchanged,0,16,320,448,448,576,448,576,448,576,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,4,1,one_edit,0,64,1280,1792,1792,1792,1792,1792,1792,1792,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,4,1,one_edit,0,64,1280,1792,1792,1920,1792,1920,1792,1920,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,4,1,one_edit,0,64,1280,1792,1792,2048,1792,2048,1792,2048,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,4,1,one_edit,0,64,1280,1792,1792,2304,1792,2304,1792,2304,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,4,1,far,0,176,3520,4928,4928,4928,4928,4928,4928,4928,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,4,1,far,0,176,3520,4928,4928,5280,4928,5280,4928,5280,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,4,1,far,0,176,3520,4928,4928,5632,4928,5632,4928,5632,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,4,1,far,0,176,3520,4928,4928,6336,4928,6336,4928,6336,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,4,2,unchanged,0,16,480,608,608,608,608,608,608,608,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,4,2,unchanged,0,16,480,608,608,640,608,640,608,640,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,4,2,unchanged,0,16,480,608,608,672,608,672,608,672,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,4,2,unchanged,0,16,480,608,608,736,608,736,608,736,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,4,2,one_edit,0,64,1920,2432,2432,2432,2432,2432,2432,2432,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,4,2,one_edit,0,64,1920,2432,2432,2560,2432,2560,2432,2560,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,4,2,one_edit,0,64,1920,2432,2432,2688,2432,2688,2432,2688,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,4,2,one_edit,0,64,1920,2432,2432,2944,2432,2944,2432,2944,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,4,2,far,0,176,5280,6688,6688,6688,6688,6688,6688,6688,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,4,2,far,0,176,5280,6688,6688,7040,6688,7040,6688,7040,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,4,2,far,0,176,5280,6688,6688,7392,6688,7392,6688,7392,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,4,2,far,0,176,5280,6688,6688,8096,6688,8096,6688,8096,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,4,4,unchanged,0,16,800,928,928,928,928,928,928,928,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,4,4,unchanged,0,16,800,928,928,960,928,960,928,960,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,4,4,unchanged,0,16,800,928,928,992,928,992,928,992,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,4,4,unchanged,0,16,800,928,928,1056,928,1056,928,1056,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,4,4,one_edit,0,64,3200,3712,3712,3712,3712,3712,3712,3712,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,4,4,one_edit,0,64,3200,3712,3712,3840,3712,3840,3712,3840,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,4,4,one_edit,0,64,3200,3712,3712,3968,3712,3968,3712,3968,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,4,4,one_edit,0,64,3200,3712,3712,4224,3712,4224,3712,4224,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,4,4,far,0,176,8800,10208,10208,10208,10208,10208,10208,10208,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,4,4,far,0,176,8800,10208,10208,10560,10208,10560,10208,10560,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,4,4,far,0,176,8800,10208,10208,10912,10208,10912,10208,10912,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,4,4,far,0,176,8800,10208,10208,11616,10208,11616,10208,11616,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,16,1,unchanged,0,16,800,928,928,928,928,928,928,928,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,16,1,unchanged,0,16,800,928,928,960,928,960,928,960,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,16,1,unchanged,0,16,800,928,928,992,928,992,928,992,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,16,1,unchanged,0,16,800,928,928,1056,928,1056,928,1056,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,16,1,one_edit,0,64,3200,3712,3712,3712,3712,3712,3712,3712,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,16,1,one_edit,0,64,3200,3712,3712,3840,3712,3840,3712,3840,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,16,1,one_edit,0,64,3200,3712,3712,3968,3712,3968,3712,3968,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,16,1,one_edit,0,64,3200,3712,3712,4224,3712,4224,3712,4224,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,16,1,far,0,176,8800,10208,10208,10208,10208,10208,10208,10208,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,16,1,far,0,176,8800,10208,10208,10560,10208,10560,10208,10560,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,16,1,far,0,176,8800,10208,10208,10912,10208,10912,10208,10912,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,16,1,far,0,176,8800,10208,10208,11616,10208,11616,10208,11616,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,16,2,unchanged,0,16,1440,1568,1568,1568,1568,1568,1568,1568,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,16,2,unchanged,0,16,1440,1568,1568,1600,1568,1600,1568,1600,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,16,2,unchanged,0,16,1440,1568,1568,1632,1568,1632,1568,1632,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,16,2,unchanged,0,16,1440,1568,1568,1696,1568,1696,1568,1696,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,16,2,one_edit,0,64,5760,6272,6272,6272,6272,6272,6272,6272,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,16,2,one_edit,0,64,5760,6272,6272,6400,6272,6400,6272,6400,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,16,2,one_edit,0,64,5760,6272,6272,6528,6272,6528,6272,6528,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,16,2,one_edit,0,64,5760,6272,6272,6784,6272,6784,6272,6784,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,16,2,far,0,176,15840,17248,17248,17248,17248,17248,17248,17248,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,16,2,far,0,176,15840,17248,17248,17600,17248,17600,17248,17600,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,16,2,far,0,176,15840,17248,17248,17952,17248,17952,17248,17952,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
