rule,class,projection,block,stride,e0,e1,e2,e3,e4,coverage_h4,repair_h4,raw_compression
32,I,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.002157894736842105
33,II,majority,3,1,0.215,0.0,0.0,0.0,0.0,1.0,1.0,0.009263157894736843
34,II,majority,3,1,0.0783,0.07833333333333334,0.008330291970802919,0.0116636197440585,0.013333333333333334,0.9616666666666667,0.8297147722435079,0.061789473684210526
35,II,majority,3,1,0.14833636363636363,0.10172131147540983,0.07746350364963504,0.036663619744058504,0.03,0.9916666666666667,0.7977569406140834,0.11526315789473685
36,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.0054736842105263155
37,II,majority,3,1,0.13,0.0,0.0,0.0,0.0,1.0,1.0,0.008789473684210526
38,II,majority,3,1,0.21582727272727273,0.1732695810564663,0.1524543795620438,0.07583180987202925,0.07583333333333334,0.9533333333333334,0.6486387824157926,0.09105263157894737
39,II,majority,3,1,0.07332727272727273,0.05753187613843352,0.05081204379562044,0.05250457038391225,0.0,1.0,1.0,0.11926315789473685
40,I,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.002157894736842105
41,IV,majority,3,1,0.2752545454545455,0.11841530054644808,0.09886861313868613,0.04852833638025594,0.03807692307692308,0.9993406593406593,0.8616665057645307,0.135
42,II,majority,3,1,0.2933272727272727,0.22666666666666666,0.05331204379562044,0.08164533820840951,0.11,0.755,0.6249922519060311,0.07052631578947369
43,II,majority,3,1,0.13003636363636364,0.07333333333333333,0.06666970802919708,0.0616819012797075,0.06666666666666667,0.8183333333333334,0.48732289336316187,0.10105263157894737
44,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.006157894736842105
45,III,majority,3,1,0.4204090909090909,0.3357194899817851,0.21140510948905109,0.14044789762340038,0.09685897435897436,0.9996794871794872,0.7696078023681008,1.000842105263158
46,II,majority,3,1,0.2766727272727273,0.04666666666666667,0.0,0.0,0.0,0.995,1.0,0.062052631578947366
47,II,majority,3,1,0.22835454545454545,0.11,0.00333029197080292,0.019149908592321754,0.041666666666666664,0.9166666666666666,0.817535199118861,0.09615789473684211
48,II,majority,3,1,0.08499090909090909,0.085,0.00833941605839416,0.011654478976234004,0.011666666666666667,0.945,0.8627304168003708,0.061894736842105266
49,II,majority,3,1,0.14667272727272726,0.09833333333333333,0.0766514598540146,0.035045703839122484,0.03166666666666667,0.985,0.7840998305855129,0.115
50,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.008842105263157894
51,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.01063157894736842
52,II,majority,3,1,0.20912727272727272,0.16081967213114753,0.1450638686131387,0.06748628884826326,0.08166666666666667,0.96,0.6094882049498638,0.09163157894736843
