width,observed_steps,future_steps,mode,source_pairs,panels,unique_rule_panels,ambiguous_rule_one_future,multiple_future_panels,source_weighted_multiple_future_fraction,mean_candidate_rules,mean_rule_bits,mean_continuations,max_continuations,mean_future_bits,max_future_bits,more_futures_than_autonomous,fewer_futures_than_autonomous
8,1,2,autonomous,65536,16844,4096,3646,9102,0.6875,3.8907622892424603,1.478746141059131,2.445856091189741,16,0.9433626217050581,4,0,0
8,1,3,autonomous,65536,16844,4096,3534,9214,0.6943359375,3.8907622892424603,1.478746141059131,2.5170980764663975,16,0.974709095226787,4,0,0
8,1,4,autonomous,65536,16844,4096,3438,9310,0.6982421875,3.8907622892424603,1.478746141059131,2.5303965803847066,16,0.9851579197340299,4,0,0
8,1,1,flip_cell_0,65536,16844,4096,3662,9086,0.7353515625,3.8907622892424603,1.478746141059131,2.3444549988126338,16,0.8272381857041083,4,2828,1994
8,1,2,flip_cell_0,65536,16844,4096,2592,10156,0.797607421875,3.8907622892424603,1.478746141059131,2.765257658513417,63,1.0883400617430539,6,3246,1762
8,1,3,flip_cell_0,65536,16844,4096,2390,10358,0.80517578125,3.8907622892424603,1.478746141059131,2.8806696746616005,73,1.1490144858703395,7,3260,1296
8,1,4,flip_cell_0,65536,16844,4096,2334,10414,0.8072509765625,3.8907622892424603,1.478746141059131,2.9099976252671573,78,1.1591071004511992,7,3272,1190
8,2,1,autonomous,65536,36154,21056,10694,4404,0.16259765625,1.812690158765282,0.5582231564972064,1.1395142999391492,8,0.12889306854013388,3,0,0
8,2,2,autonomous,65536,36154,21056,9926,5172,0.189453125,1.812690158765282,0.5582231564972064,1.172705648061072,8,0.15854400619571832,3,0,0
8,2,3,autonomous,65536,36154,21056,9750,5348,0.19580078125,1.812690158765282,0.5582231564972064,1.1789013663771644,8,0.1647397245118106,3,0,0
8,2,4,autonomous,65536,36154,21056,9654,5444,0.19970703125,1.812690158765282,0.5582231564972064,1.1815566742269181,8,0.16739503236156442,3,0,0
8,2,1,flip_cell_0,65536,36154,21056,8132,6966,0.3472900390625,1.812690158765282,0.5582231564972064,1.2676882226033082,8,0.2244841511312718,3,3600,942
8,2,2,flip_cell_0,65536,36154,21056,6806,8292,0.39422607421875,1.812690158765282,0.5582231564972064,1.3507219118216518,45,0.2896498312773137,6,3906,714
8,2,3,flip_cell_0,65536,36154,21056,6292,8806,0.4112548828125,1.812690158765282,0.5582231564972064,1.375615422913094,52,0.3090667699286386,6,3980,390
8,2,4,flip_cell_0,65536,36154,21056,6100,8998,0.4176025390625,1.812690158765282,0.5582231564972064,1.3846877247330862,52,0.3148752558499751,6,4028,298
8,3,1,autonomous,65536,41198,29600,10558,1040,0.03515625,1.5907568328559638,0.38919365017719304,1.0291276275547356,8,0.026797417350356813,3,0,0
8,3,2,autonomous,65536,41198,29600,10334,1264,0.04296875,1.5907568328559638,0.38919365017719304,1.0345647846982864,8,0.03223457449390747,3,0,0
8,3,3,autonomous,65536,41198,29600,10238,1360,0.046875,1.5907568328559638,0.38919365017719304,1.0368949949026651,8,0.034564784698286326,3,0,0
8,3,4,autonomous,65536,41198,29600,10142,1456,0.0498046875,1.5907568328559638,0.38919365017719304,1.039225205107044,8,0.03689499490266518,3,0,0
8,3,1,flip_cell_0,65536,41198,29600,7084,4514,0.25518798828125,1.5907568328559638,0.38919365017719304,1.166270207291616,8,0.13316180397106656,3,3628,168
8,3,2,flip_cell_0,65536,41198,29600,6394,5204,0.28192138671875,1.5907568328559638,0.38919365017719304,1.2165639108694597,45,0.17000825282780718,6,4094,156
8,3,3,flip_cell_0,65536,41198,29600,6180,5418,0.2886962890625,1.5907568328559638,0.38919365017719304,1.2279722316617312,52,0.17767852808388757,6,4184,116
8,3,4,flip_cell_0,65536,41198,29600,6072,5526,0.2923583984375,1.5907568328559638,0.38919365017719304,1.232826836254187,52,0.18044565270158747,6,4204,116
8,4,1,autonomous,65536,42398,31776,10398,224,0.0078125,1.5457332893060993,0.3528940044341714,1.005283268078683,2,0.005283268078682957,1,0,0
8,4,2,autonomous,65536,42398,31776,10302,320,0.01171875,1.5457332893060993,0.3528940044341714,1.00754752582669,2,0.007547525826689938,1,0,0
8,4,3,autonomous,65536,42398,31776,10206,416,0.0146484375,1.5457332893060993,0.3528940044341714,1.009811783574697,2,0.00981178357469692,1,0,0
8,4,4,autonomous,65536,42398,31776,10206,416,0.0146484375,1.5457332893060993,0.3528940044341714,1.009811783574697,2,0.00981178357469692,1,0,0
8,4,1,flip_cell_0,65536,42398,31776,7042,3580,0.2178955078125,1.5457332893060993,0.3528940044341714,1.1272701542525592,8,0.10288221142506722,3,3388,24
8,4,2,flip_cell_0,65536,42398,31776,6488,4134,0.239501953125,1.5457332893060993,0.3528940044341714,1.1712816642294448,45,0.13477050804283222,6,3866,36
8,4,3,flip_cell_0,65536,42398,31776,6326,4296,0.24468994140625,1.5457332893060993,0.3528940044341714,1.1815179961318931,52,0.14061984055851692,6,3932,36
8,4,4,flip_cell_0,65536,42398,31776,6234,4388,0.24761962890625,1.5457332893060993,0.3528940044341714,1.1856691353365725,52,0.1429312703429407,6,4016,28
8,5,1,autonomous,65536,42622,32160,10366,96,0.00390625,1.53760968513913,0.3465346534653465,1.0022523579372156,2,0.0022523579372155226,1,0,0
8,5,2,autonomous,65536,42622,32160,10270,192,0.0068359375,1.53760968513913,0.3465346534653465,1.0045047158744311,2,0.004504715874431045,1,0,0
8,5,3,autonomous,65536,42622,32160,10270,192,0.0068359375,1.53760968513913,0.3465346534653465,1.0045047158744311,2,0.004504715874431045,1,0,0
8,5,4,autonomous,65536,42622,32160,10270,192,0.0068359375,1.53760968513913,0.3465346534653465,1.0045047158744311,2,0.004504715874431045,1,0,0
8,5,1,flip_cell_0,65536,42622,32160,6886,3576,0.221435546875,1.53760968513913,0.3465346534653465,1.132889118295716,8,0.10450002346206184,3,3504,16
8,5,2,flip_cell_0,65536,42622,32160,6324,4138,0.2440185546875,1.53760968513913,0.3465346534653465,1.1782647459058702,45,0.13697151705691896,6,3982,28
8,5,3,flip_cell_0,65536,42622,32160,6178,4284,0.24847412109375,1.53760968513913,0.3465346534653465,1.188071887757496,52,0.1424147154051898,6,4112,12
8,5,4,flip_cell_0,65536,42622,32160,6098,4364,0.25103759765625,1.53760968513913,0.3465346534653465,1.1919196659002393,52,0.1444324527239454,6,4192,12
8,6,1,autonomous,65536,42718,32288,10334,96,0.0029296875,1.5341542207032164,0.34425768996675876,1.0022472962217333,2,0.002247296221733227,1,0,0
8,6,2,autonomous,65536,42718,32288,10334,96,0.0029296875,1.5341542207032164,0.34425768996675876,1.0022472962217333,2,0.002247296221733227,1,0,0
