n,A,B,dispatch,trace,K,shift,useful_inheritance,cases,same_task_map,revision_changed_macro,replacement_changed_macro,sum_uncompiled,sum_frozen,sum_replace,sum_revisable,revision_win_uncompiled,revision_tie_uncompiled,revision_loss_uncompiled,max_saving_uncompiled,max_excess_uncompiled,revision_win_frozen,revision_tie_frozen,revision_loss_frozen,max_saving_frozen,max_excess_frozen,revision_win_replace,revision_tie_replace,revision_loss_replace,max_saving_replace,max_excess_replace
9,0,51,0,0,4,unchanged,0,16,16,0,0,240,368,368,368,0,0,16,-8,8,0,16,0,0,0,0,16,0,0,0
9,0,51,0,0,4,one_edit,0,64,40,0,0,960,1472,1472,1472,0,0,64,-8,8,0,64,0,0,0,0,64,0,0,0
9,0,51,0,0,4,far,0,176,70,0,0,2640,4048,4048,4048,0,0,176,-8,8,0,176,0,0,0,0,176,0,0,0
9,0,51,0,0,16,unchanged,0,16,16,0,0,480,608,608,608,0,0,16,-8,8,0,16,0,0,0,0,16,0,0,0
9,0,51,0,0,16,one_edit,0,64,40,0,0,1920,2432,2432,2432,0,0,64,-8,8,0,64,0,0,0,0,64,0,0,0
9,0,51,0,0,16,far,0,176,70,0,0,5280,6688,6688,6688,0,0,176,-8,8,0,176,0,0,0,0,176,0,0,0
9,0,51,0,2,1,unchanged,0,16,16,0,0,180,308,308,340,0,0,16,-10,10,0,0,16,-2,2,0,0,16,-2,2
9,0,51,0,2,1,one_edit,0,64,40,0,0,720,1232,1232,1360,0,0,64,-10,10,0,0,64,-2,2,0,0,64,-2,2
9,0,51,0,2,1,far,0,176,70,0,0,1980,3388,3388,3740,0,0,176,-10,10,0,0,176,-2,2,0,0,176,-2,2
9,0,51,0,2,4,unchanged,0,16,16,0,0,240,368,368,400,0,0,16,-10,10,0,0,16,-2,2,0,0,16,-2,2
9,0,51,0,2,4,one_edit,0,64,40,0,0,960,1472,1472,1600,0,0,64,-10,10,0,0,64,-2,2,0,0,64,-2,2
9,0,51,0,2,4,far,0,176,70,0,0,2640,4048,4048,4400,0,0,176,-10,10,0,0,176,-2,2,0,0,176,-2,2
9,0,51,0,2,16,unchanged,0,16,16,0,0,480,608,608,640,0,0,16,-10,10,0,0,16,-2,2,0,0,16,-2,2
9,0,51,0,2,16,one_edit,0,64,40,0,0,1920,2432,2432,2560,0,0,64,-10,10,0,0,64,-2,2,0,0,64,-2,2
9,0,51,0,2,16,far,0,176,70,0,0,5280,6688,6688,7040,0,0,176,-10,10,0,0,176,-2,2,0,0,176,-2,2
9,0,51,0,4,1,unchanged,0,16,16,0,0,180,308,308,372,0,0,16,-12,12,0,0,16,-4,4,0,0,16,-4,4
9,0,51,0,4,1,one_edit,0,64,40,0,0,720,1232,1232,1488,0,0,64,-12,12,0,0,64,-4,4,0,0,64,-4,4
9,0,51,0,4,1,far,0,176,70,0,0,1980,3388,3388,4092,0,0,176,-12,12,0,0,176,-4,4,0,0,176,-4,4
9,0,51,0,4,4,unchanged,0,16,16,0,0,240,368,368,432,0,0,16,-12,12,0,0,16,-4,4,0,0,16,-4,4
9,0,51,0,4,4,one_edit,0,64,40,0,0,960,1472,1472,1728,0,0,64,-12,12,0,0,64,-4,4,0,0,64,-4,4
9,0,51,0,4,4,far,0,176,70,0,0,2640,4048,4048,4752,0,0,176,-12,12,0,0,176,-4,4,0,0,176,-4,4
9,0,51,0,4,16,unchanged,0,16,16,0,0,480,608,608,672,0,0,16,-12,12,0,0,16,-4,4,0,0,16,-4,4
9,0,51,0,4,16,one_edit,0,64,40,0,0,1920,2432,2432,2688,0,0,64,-12,12,0,0,64,-4,4,0,0,64,-4,4
9,0,51,0,4,16,far,0,176,70,0,0,5280,6688,6688,7392,0,0,176,-12,12,0,0,176,-4,4,0,0,176,-4,4
9,0,51,0,8,1,unchanged,0,16,16,0,0,180,308,308,436,0,0,16,-16,16,0,0,16,-8,8,0,0,16,-8,8
9,0,51,0,8,1,one_edit,0,64,40,0,0,720,1232,1232,1744,0,0,64,-16,16,0,0,64,-8,8,0,0,64,-8,8
9,0,51,0,8,1,far,0,176,70,0,0,1980,3388,3388,4796,0,0,176,-16,16,0,0,176,-8,8,0,0,176,-8,8
9,0,51,0,8,4,unchanged,0,16,16,0,0,240,368,368,496,0,0,16,-16,16,0,0,16,-8,8,0,0,16,-8,8
9,0,51,0,8,4,one_edit,0,64,40,0,0,960,1472,1472,1984,0,0,64,-16,16,0,0,64,-8,8,0,0,64,-8,8
9,0,51,0,8,4,far,0,176,70,0,0,2640,4048,4048,5456,0,0,176,-16,16,0,0,176,-8,8,0,0,176,-8,8
9,0,51,0,8,16,unchanged,0,16,16,0,0,480,608,608,736,0,0,16,-16,16,0,0,16,-8,8,0,0,16,-8,8
9,0,51,0,8,16,one_edit,0,64,40,0,0,1920,2432,2432,2944,0,0,64,-16,16,0,0,64,-8,8,0,0,64,-8,8
9,0,51,0,8,16,far,0,176,70,0,0,5280,6688,6688,8096,0,0,176,-16,16,0,0,176,-8,8,0,0,176,-8,8
9,0,51,1,0,1,unchanged,0,16,16,0,0,360,488,488,488,0,0,16,-8,8,0,16,0,0,0,0,16,0,0,0
9,0,51,1,0,1,one_edit,0,64,40,0,0,1440,1952,1952,1952,0,0,64,-8,8,0,64,0,0,0,0,64,0,0,0
9,0,51,1,0,1,far,0,176,70,0,0,3960,5368,5368,5368,0,0,176,-8,8,0,176,0,0,0,0,176,0,0,0
9,0,51,1,0,4,unchanged,0,16,16,0,0,480,608,608,608,0,0,16,-8,8,0,16,0,0,0,0,16,0,0,0
9,0,51,1,0,4,one_edit,0,64,40,0,0,1920,2432,2432,2432,0,0,64,-8,8,0,64,0,0,0,0,64,0,0,0
9,0,51,1,0,4,far,0,176,70,0,0,5280,6688,6688,6688,0,0,176,-8,8,0,176,0,0,0,0,176,0,0,0
9,0,51,1,0,16,unchanged,0,16,16,0,0,960,1088,1088,1088,0,0,16,-8,8,0,16,0,0,0,0,16,0,0,0
9,0,51,1,0,16,one_edit,0,64,40,0,0,3840,4352,4352,4352,0,0,64,-8,8,0,64,0,0,0,0,64,0,0,0
9,0,51,1,0,16,far,0,176,70,0,0,10560,11968,11968,11968,0,0,176,-8,8,0,176,0,0,0,0,176,0,0,0
9,0,51,1,2,1,unchanged,0,16,16,0,0,360,488,488,520,0,0,16,-10,10,0,0,16,-2,2,0,0,16,-2,2
9,0,51,1,2,1,one_edit,0,64,40,0,0,1440,1952,1952,2080,0,0,64,-10,10,0,0,64,-2,2,0,0,64,-2,2
9,0,51,1,2,1,far,0,176,70,0,0,3960,5368,5368,5720,0,0,176,-10,10,0,0,176,-2,2,0,0,176,-2,2
9,0,51,1,2,4,unchanged,0,16,16,0,0,480,608,608,640,0,0,16,-10,10,0,0,16,-2,2,0,0,16,-2,2
9,0,51,1,2,4,one_edit,0,64,40,0,0,1920,2432,2432,2560,0,0,64,-10,10,0,0,64,-2,2,0,0,64,-2,2
9,0,51,1,2,4,far,0,176,70,0,0,5280,6688,6688,7040,0,0,176,-10,10,0,0,176,-2,2,0,0,176,-2,2
9,0,51,1,2,16,unchanged,0,16,16,0,0,960,1088,1088,1120,0,0,16,-10,10,0,0,16,-2,2,0,0,16,-2,2
9,0,51,1,2,16,one_edit,0,64,40,0,0,3840,4352,4352,4480,0,0,64,-10,10,0,0,64,-2,2,0,0,64,-2,2
9,0,51,1,2,16,far,0,176,70,0,0,10560,11968,11968,12320,0,0,176,-10,10,0,0,176,-2,2,0,0,176,-2,2
9,0,51,1,4,1,unchanged,0,16,16,0,0,360,488,488,552,0,0,16,-12,12,0,0,16,-4,4,0,0,16,-4,4
9,0,51,1,4,1,one_edit,0,64,40,0,0,1440,1952,1952,2208,0,0,64,-12,12,0,0,64,-4,4,0,0,64,-4,4
9,0,51,1,4,1,far,0,176,70,0,0,3960,5368,5368,6072,0,0,176,-12,12,0,0,176,-4,4,0,0,176,-4,4
9,0,51,1,4,4,unchanged,0,16,16,0,0,480,608,608,672,0,0,16,-12,12,0,0,16,-4,4,0,0,16,-4,4
9,0,51,1,4,4,one_edit,0,64,40,0,0,1920,2432,2432,2688,0,0,64,-12,12,0,0,64,-4,4,0,0,64,-4,4
9,0,51,1,4,4,far,0,176,70,0,0,5280,6688,6688,7392,0,0,176,-12,12,0,0,176,-4,4,0,0,176,-4,4
9,0,51,1,4,16,unchanged,0,16,16,0,0,960,1088,1088,1152,0,0,16,-12,12,0,0,16,-4,4,0,0,16,-4,4
9,0,51,1,4,16,one_edit,0,64,40,0,0,3840,4352,4352,4608,0,0,64,-12,12,0,0,64,-4,4,0,0,64,-4,4
9,0,51,1,4,16,far,0,176,70,0,0,10560,11968,11968,12672,0,0,176,-12,12,0,0,176,-4,4,0,0,176,-4,4
9,0,51,1,8,1,unchanged,0,16,16,0,0,360,488,488,616,0,0,16,-16,16,0,0,16,-8,8,0,0,16,-8,8
9,0,51,1,8,1,one_edit,0,64,40,0,0,1440,1952,1952,2464,0,0,64,-16,16,0,0,64,-8,8,0,0,64,-8,8
9,0,51,1,8,1,far,0,176,70,0,0,3960,5368,5368,6776,0,0,176,-16,16,0,0,176,-8,8,0,0,176,-8,8
9,0,51,1,8,4,unchanged,0,16,16,0,0,480,608,608,736,0,0,16,-16,16,0,0,16,-8,8,0,0,16,-8,8
9,0,51,1,8,4,one_edit,0,64,40,0,0,1920,2432,2432,2944,0,0,64,-16,16,0,0,64,-8,8,0,0,64,-8,8
9,0,51,1,8,4,far,0,176,70,0,0,5280,6688,6688,8096,0,0,176,-16,16,0,0,176,-8,8,0,0,176,-8,8
9,0,51,1,8,16,unchanged,0,16,16,0,0,960,1088,1088,1216,0,0,16,-16,16,0,0,16,-8,8,0,0,16,-8,8
9,0,51,1,8,16,one_edit,0,64,40,0,0,3840,4352,4352,4864,0,0,64,-16,16,0,0,64,-8,8,0,0,64,-8,8
9,0,51,1,8,16,far,0,176,70,0,0,10560,11968,11968,13376,0,0,176,-16,16,0,0,176,-8,8,0,0,176,-8,8
9,0,51,2,0,1,unchanged,0,16,16,0,0,540,668,668,668,0,0,16,-8,8,0,16,0,0,0,0,16,0,0,0
9,0,51,2,0,1,one_edit,0,64,40,0,0,2160,2672,2672,2672,0,0,64,-8,8,0,64,0,0,0,0,64,0,0,0
9,0,51,2,0,1,far,0,176,70,0,0,5940,7348,7348,7348,0,0,176,-8,8,0,176,0,0,0,0,176,0,0,0
9,0,51,2,0,4,unchanged,0,16,16,0,0,720,848,848,848,0,0,16,-8,8,0,16,0,0,0,0,16,0,0,0
9,0,51,2,0,4,one_edit,0,64,40,0,0,2880,3392,3392,3392,0,0,64,-8,8,0,64,0,0,0,0,64,0,0,0
9,0,51,2,0,4,far,0,176,70,0,0,7920,9328,9328,9328,0,0,176,-8,8,0,176,0,0,0,0,176,0,0,0
9,0,51,2,0,16,unchanged,0,16,16,0,0,1440,1568,1568,1568,0,0,16,-8,8,0,16,0,0,0,0,16,0,0,0
9,0,51,2,0,16,one_edit,0,64,40,0,0,5760,6272,6272,6272,0,0,64,-8,8,0,64,0,0,0,0,64,0,0,0
9,0,51,2,0,16,far,0,176,70,0,0,15840,17248,17248,17248,0,0,176,-8,8,0,176,0,0,0,0,176,0,0,0
9,0,51,2,2,1,unchanged,0,16,16,0,0,540,668,668,700,0,0,16,-10,10,0,0,16,-2,2,0,0,16,-2,2
9,0,51,2,2,1,one_edit,0,64,40,0,0,2160,2672,2672,2800,0,0,64,-10,10,0,0,64,-2,2,0,0,64,-2,2
9,0,51,2,2,1,far,0,176,70,0,0,5940,7348,7348,7700,0,0,176,-10,10,0,0,176,-2,2,0,0,176,-2,2
9,0,51,2,2,4,unchanged,0,16,16,0,0,720,848,848,880,0,0,16,-10,10,0,0,16,-2,2,0,0,16,-2,2
9,0,51,2,2,4,one_edit,0,64,40,0,0,2880,3392,3392,3520,0,0,64,-10,10,0,0,64,-2,2,0,0,64,-2,2
9,0,51,2,2,4,far,0,176,70,0,0,7920,9328,9328,9680,0,0,176,-10,10,0,0,176,-2,2,0,0,176,-2,2
9,0,51,2,2,16,unchanged,0,16,16,0,0,1440,1568,1568,1600,0,0,16,-10,10,0,0,16,-2,2,0,0,16,-2,2
9,0,51,2,2,16,one_edit,0,64,40,0,0,5760,6272,6272,6400,0,0,64,-10,10,0,0,64,-2,2,0,0,64,-2,2
