m,a,b,k,primitive_m,physical_flips,rule,off_code,outer_conflicts,witness_input,witness_other,witness_output
3,6,3,2,3,2,-1,24,0,0,-1,5
3,6,3,3,3,2,-1,93,0,13,-1,7
3,6,4,1,3,1,-1,8,0,0,-1,3
3,6,4,2,3,1,-1,24,0,0,-1,5
3,6,4,3,3,1,-1,96,0,4,-1,2
3,6,5,1,3,2,-1,6,0,0,-1,3
3,6,5,2,3,2,-1,24,0,2,-1,1
3,6,5,3,3,2,-1,93,0,4,-1,2
3,6,7,1,3,1,-1,4,0,0,-1,3
3,6,7,2,3,1,-1,16,0,0,-1,5
3,6,7,3,3,1,-1,0,64,64,0,7
3,7,0,1,1,3,232,0,0,-1,-1,-1
3,7,0,2,1,3,-1,0,4,11,10,0
3,7,0,3,1,3,-1,0,16,22,20,0
3,7,1,1,3,2,-1,5,0,3,-1,3
3,7,1,2,3,2,-1,17,0,11,-1,3
3,7,1,3,3,2,-1,79,0,22,-1,5
3,7,2,1,3,2,-1,5,0,3,-1,6
3,7,2,2,3,2,-1,17,0,11,-1,6
3,7,2,3,3,2,-1,79,0,22,-1,3
3,7,3,1,3,1,-1,4,0,4,-1,5
3,7,3,2,3,1,-1,16,0,16,-1,6
3,7,3,3,3,1,-1,0,64,64,0,3
3,7,4,1,3,2,-1,5,0,3,-1,5
3,7,4,2,3,2,-1,17,0,11,-1,5
3,7,4,3,3,2,-1,79,0,22,-1,6
3,7,5,1,3,1,-1,4,0,4,-1,6
3,7,5,2,3,1,-1,16,0,16,-1,3
3,7,5,3,3,1,-1,0,64,64,0,5
3,7,6,1,3,1,-1,4,0,4,-1,3
3,7,6,2,3,1,-1,16,0,16,-1,5
3,7,6,3,3,1,-1,0,64,64,0,6
4,0,1,1,4,1,-1,4,0,1,-1,2
4,0,1,2,4,1,-1,16,0,1,-1,4
4,0,1,3,4,1,-1,64,0,1,-1,8
4,0,2,1,4,1,-1,4,0,1,-1,4
4,0,2,2,4,1,-1,16,0,1,-1,8
4,0,2,3,4,1,-1,64,0,1,-1,1
4,0,3,1,4,2,-1,5,0,1,-1,4
4,0,3,2,4,2,-1,20,0,1,-1,8
4,0,3,3,4,2,-1,80,0,1,-1,1
4,0,4,1,4,1,-1,4,0,1,-1,8
4,0,4,2,4,1,-1,16,0,1,-1,1
4,0,4,3,4,1,-1,64,0,1,-1,2
4,0,5,1,2,2,-1,4,0,1,-1,10
4,0,5,2,2,2,-1,0,16,1,0,5
4,0,5,3,2,2,-1,64,0,1,-1,10
4,0,6,1,4,2,-1,5,0,1,-1,8
4,0,6,2,4,2,-1,20,0,1,-1,1
4,0,6,3,4,2,-1,80,0,1,-1,2
4,0,7,1,4,3,-1,5,0,1,-1,8
4,0,7,2,4,3,-1,20,0,1,-1,1
4,0,7,3,4,3,-1,92,0,1,-1,2
4,0,8,1,4,1,-1,4,0,1,-1,1
4,0,8,2,4,1,-1,16,0,1,-1,2
4,0,8,3,4,1,-1,64,0,1,-1,4
4,0,9,1,4,2,-1,5,0,1,-1,2
4,0,9,2,4,2,-1,20,0,1,-1,4
4,0,9,3,4,2,-1,80,0,1,-1,8
4,0,10,1,2,2,-1,4,0,1,-1,5
4,0,10,2,2,2,-1,0,16,1,0,10
4,0,10,3,2,2,-1,64,0,1,-1,5
4,0,11,1,4,3,-1,5,0,1,-1,4
4,0,11,2,4,3,-1,20,0,1,-1,8
4,0,11,3,4,3,-1,92,0,1,-1,1
4,0,12,1,4,2,-1,5,0,1,-1,1
4,0,12,2,4,2,-1,20,0,1,-1,2
4,0,12,3,4,2,-1,80,0,1,-1,4
4,0,13,1,4,3,-1,5,0,1,-1,2
4,0,13,2,4,3,-1,20,0,1,-1,4
4,0,13,3,4,3,-1,92,0,1,-1,8
4,0,14,1,4,3,-1,5,0,1,-1,1
4,0,14,2,4,3,-1,20,0,1,-1,2
4,0,14,3,4,3,-1,92,0,1,-1,4
4,0,15,1,1,4,232,0,0,-1,-1,-1
4,0,15,2,1,4,-1,0,4,11,10,15
4,0,15,3,1,4,-1,0,16,22,20,15
4,1,0,1,4,1,-1,4,0,0,-1,2
4,1,0,2,4,1,-1,16,0,0,-1,4
4,1,0,3,4,1,-1,64,0,0,-1,8
4,1,2,1,4,2,-1,6,0,1,-1,6
4,1,2,2,4,2,-1,30,0,0,-1,4
4,1,2,3,4,2,-1,102,0,0,-1,8
4,1,3,1,4,1,-1,6,0,0,-1,2
4,1,3,2,4,1,-1,31,0,0,-1,4
4,1,3,3,4,1,-1,121,0,0,-1,8
4,1,4,1,4,2,-1,8,0,0,-1,2
4,1,4,2,4,2,-1,0,16,1,0,1
4,1,4,3,4,2,-1,128,0,0,-1,8
4,1,5,1,4,1,-1,8,0,0,-1,2
4,1,5,2,4,1,-1,16,0,0,-1,4
4,1,5,3,4,1,-1,128,0,0,-1,8
4,1,6,1,4,3,-1,8,0,0,-1,2
4,1,6,2,4,3,-1,32,0,0,-1,4
4,1,6,3,4,3,-1,128,0,0,-1,8
4,1,7,1,4,2,-1,8,0,0,-1,2
4,1,7,2,4,2,-1,30,0,0,-1,4
4,1,7,3,4,2,-1,128,0,0,-1,8
4,1,8,1,4,2,-1,6,0,0,-1,2
4,1,8,2,4,2,-1,30,0,0,-1,4
4,1,8,3,4,2,-1,102,0,1,-1,0
4,1,9,1,4,1,-1,8,0,0,-1,2
4,1,9,2,4,1,-1,32,0,0,-1,4
4,1,9,3,4,1,-1,128,0,0,-1,8
4,1,10,1,4,3,-1,7,0,0,-1,2
4,1,10,2,4,3,-1,20,0,0,-1,4
4,1,10,3,4,3,-1,122,0,0,-1,8
4,1,11,1,4,2,-1,8,0,0,-1,2
4,1,11,2,4,2,-1,30,0,0,-1,4
4,1,11,3,4,2,-1,110,0,0,-1,8
4,1,12,1,4,3,-1,8,0,0,-1,2
4,1,12,2,4,3,-1,28,0,0,-1,4
4,1,12,3,4,3,-1,106,0,0,-1,8
4,1,13,1,4,2,-1,8,0,0,-1,2
4,1,13,2,4,2,-1,32,0,0,-1,4
4,1,13,3,4,2,-1,128,0,0,-1,8
4,1,14,1,4,4,-1,8,0,0,-1,2
4,1,14,2,4,4,-1,24,0,0,-1,4
4,1,14,3,4,4,-1,126,0,0,-1,8
4,1,15,1,4,3,-1,5,0,0,-1,2
4,1,15,2,4,3,-1,20,0,0,-1,4
4,1,15,3,4,3,-1,92,0,0,-1,8
4,2,0,1,4,1,-1,4,0,0,-1,4
4,2,0,2,4,1,-1,16,0,0,-1,8
4,2,0,3,4,1,-1,64,0,0,-1,1
4,2,1,1,4,2,-1,6,0,0,-1,4
4,2,1,2,4,2,-1,30,0,0,-1,8
4,2,1,3,4,2,-1,102,0,1,-1,0
4,2,3,1,4,1,-1,8,0,0,-1,4
4,2,3,2,4,1,-1,32,0,0,-1,8
4,2,3,3,4,1,-1,128,0,0,-1,1
4,2,4,1,4,2,-1,6,0,1,-1,12
4,2,4,2,4,2,-1,30,0,0,-1,8
4,2,4,3,4,2,-1,102,0,0,-1,1
4,2,5,1,4,3,-1,7,0,0,-1,4
