A,B,dispatch,trace,K,shift,useful_inheritance,cases,same_task_map,sum_uncompiled,sum_frozen,sum_replace,sum_revisable,revision_win_uncompiled,revision_tie_uncompiled,revision_loss_uncompiled,revision_win_frozen,revision_tie_frozen,revision_loss_frozen,revision_win_replace,revision_tie_replace,revision_loss_replace
0,51,2,4,16,unchanged,0,16,16,1440,1568,1568,1632,0,0,16,0,0,16,0,0,16
0,51,2,4,16,one_edit,0,64,40,5760,6272,6272,6528,0,0,64,0,0,64,0,0,64
0,51,2,4,16,far,0,176,70,15840,17248,17248,17952,0,0,176,0,0,176,0,0,176
0,51,2,8,1,unchanged,0,16,16,540,668,668,796,0,0,16,0,0,16,0,0,16
0,51,2,8,1,one_edit,0,64,40,2160,2672,2672,3184,0,0,64,0,0,64,0,0,64
0,51,2,8,1,far,0,176,70,5940,7348,7348,8756,0,0,176,0,0,176,0,0,176
0,51,2,8,4,unchanged,0,16,16,720,848,848,976,0,0,16,0,0,16,0,0,16
0,51,2,8,4,one_edit,0,64,40,2880,3392,3392,3904,0,0,64,0,0,64,0,0,64
0,51,2,8,4,far,0,176,70,7920,9328,9328,10736,0,0,176,0,0,176,0,0,176
0,51,2,8,16,unchanged,0,16,16,1440,1568,1568,1696,0,0,16,0,0,16,0,0,16
0,51,2,8,16,one_edit,0,64,40,5760,6272,6272,6784,0,0,64,0,0,64,0,0,64
0,51,2,8,16,far,0,176,70,15840,17248,17248,18656,0,0,176,0,0,176,0,0,176
0,51,4,0,1,unchanged,0,11,11,450,538,538,538,0,0,11,0,11,0,0,11,0
0,51,4,0,1,one_edit,0,44,30,1860,2212,2212,2212,0,0,44,0,44,0,0,44,0
0,51,4,0,1,far,0,121,60,5190,6158,6158,6158,0,0,121,0,121,0,0,121,0
0,51,4,0,1,one_edit,1,20,10,1740,1560,1560,1560,20,0,0,0,20,0,0,20,0
0,51,4,0,1,unchanged,1,5,5,450,400,400,400,5,0,0,0,5,0,0,5,0
0,51,4,0,1,far,1,55,10,4710,4250,4250,4250,55,0,0,0,55,0,0,55,0
0,51,4,0,4,unchanged,0,11,11,600,688,688,688,0,0,11,0,11,0,0,11,0
0,51,4,0,4,one_edit,0,44,30,2640,2992,2992,2942,0,0,44,10,34,0,10,34,0
0,51,4,0,4,far,0,121,60,7560,8528,8528,8333,0,0,121,45,76,0,45,76,0
0,51,4,0,4,one_edit,1,20,10,2160,1920,1920,1920,20,0,0,0,20,0,0,20,0
0,51,4,0,4,unchanged,1,5,5,600,520,520,520,5,0,0,0,5,0,0,5,0
0,51,4,0,4,far,1,55,10,5640,5120,5120,5120,55,0,0,0,55,0,0,55,0
0,51,4,0,16,unchanged,0,11,11,1200,1288,1288,1288,0,0,11,0,11,0,0,11,0
0,51,4,0,16,one_edit,0,44,30,5760,6112,5872,5822,10,0,34,10,34,0,10,34,0
0,51,4,0,16,far,0,121,60,17040,18008,16928,16733,45,0,76,45,76,0,45,76,0
0,51,4,0,16,one_edit,1,20,10,3840,3360,3360,3360,20,0,0,0,20,0,0,20,0
0,51,4,0,16,unchanged,1,5,5,1200,1000,1000,1000,5,0,0,0,5,0,0,5,0
0,51,4,0,16,far,1,55,10,9360,8600,8600,8600,55,0,0,0,55,0,0,55,0
0,51,4,2,1,unchanged,0,11,11,450,538,538,560,0,0,11,0,0,11,0,0,11
0,51,4,2,1,one_edit,0,44,30,1860,2212,2212,2300,0,0,44,0,0,44,0,0,44
0,51,4,2,1,far,0,121,60,5190,6158,6158,6400,0,0,121,0,0,121,0,0,121
