n,projection,block,stride,ensemble,test_kind,test_seed,model,depth,radius,detector,region,samples,errors,seen,supported,supported_errors,baseline_errors,fixed,broken
420,parity,2,2,1,perturbed,402,history,0,1,r3-7,departure,17825,5915,17825,17825,5915,5915,0,0
420,parity,2,2,1,perturbed,402,history,0,1,r3-7,all,106260,29995,106260,106260,29995,29995,0,0
420,parity,2,2,1,perturbed,402,history,0,1,r7-14,background,69069,19072,69069,69069,19072,19072,0,0
420,parity,2,2,1,perturbed,402,history,0,1,r7-14,ambiguous,11636,3429,11636,11636,3429,3429,0,0
420,parity,2,2,1,perturbed,402,history,0,1,r7-14,departure,25555,7494,25555,25555,7494,7494,0,0
420,parity,2,2,1,perturbed,402,history,0,1,r7-14,all,106260,29995,106260,106260,29995,29995,0,0
420,parity,2,2,1,random,301,history,1,1,r3-7,background,44202,0,44202,44202,0,8665,8665,0
420,parity,2,2,1,random,301,history,1,1,r3-7,ambiguous,15516,0,15516,15516,0,3178,3178,0
420,parity,2,2,1,random,301,history,1,1,r3-7,departure,46542,8619,46542,46542,8619,14975,10652,4296
420,parity,2,2,1,random,301,history,1,1,r3-7,all,106260,8619,106260,106260,8619,26818,22495,4296
420,parity,2,2,1,random,301,history,1,1,r7-14,background,26287,0,26287,26287,0,4884,4884,0
420,parity,2,2,1,random,301,history,1,1,r7-14,ambiguous,17915,0,17915,17915,0,3781,3781,0
420,parity,2,2,1,random,301,history,1,1,r7-14,departure,62058,8619,62058,62058,8619,18153,13830,4296
420,parity,2,2,1,random,301,history,1,1,r7-14,all,106260,8619,106260,106260,8619,26818,22495,4296
420,parity,2,2,1,random,302,history,1,1,r3-7,background,43949,0,43949,43949,0,8001,8001,0
420,parity,2,2,1,random,302,history,1,1,r3-7,ambiguous,14994,0,14994,14994,0,3107,3107,0
420,parity,2,2,1,random,302,history,1,1,r3-7,departure,47317,8775,47317,47317,8775,15156,10788,4407
420,parity,2,2,1,random,302,history,1,1,r3-7,all,106260,8775,106260,106260,8775,26264,21896,4407
420,parity,2,2,1,random,302,history,1,1,r7-14,background,25242,0,25242,25242,0,4221,4221,0
420,parity,2,2,1,random,302,history,1,1,r7-14,ambiguous,18707,0,18707,18707,0,3780,3780,0
420,parity,2,2,1,random,302,history,1,1,r7-14,departure,62311,8775,62311,62311,8775,18263,13895,4407
420,parity,2,2,1,random,302,history,1,1,r7-14,all,106260,8775,106260,106260,8775,26264,21896,4407
420,parity,2,2,1,random,303,history,1,1,r3-7,background,48097,0,48097,48097,0,8452,8452,0
420,parity,2,2,1,random,303,history,1,1,r3-7,ambiguous,14820,0,14820,14820,0,2990,2990,0
420,parity,2,2,1,random,303,history,1,1,r3-7,departure,43343,7749,43343,43343,7749,14040,10207,3916
420,parity,2,2,1,random,303,history,1,1,r3-7,all,106260,7749,106260,106260,7749,25482,21649,3916
420,parity,2,2,1,random,303,history,1,1,r7-14,background,28352,0,28352,28352,0,4249,4249,0
420,parity,2,2,1,random,303,history,1,1,r7-14,ambiguous,19745,0,19745,19745,0,4203,4203,0
420,parity,2,2,1,random,303,history,1,1,r7-14,departure,58163,7749,58163,58163,7749,17030,13197,3916
420,parity,2,2,1,random,303,history,1,1,r7-14,all,106260,7749,106260,106260,7749,25482,21649,3916
420,parity,2,2,1,random,304,history,1,1,r3-7,background,50024,0,50024,50024,0,9899,9899,0
420,parity,2,2,1,random,304,history,1,1,r3-7,ambiguous,13522,0,13522,13522,0,2908,2908,0
420,parity,2,2,1,random,304,history,1,1,r3-7,departure,42714,6588,42714,42714,6588,14023,10585,3150
420,parity,2,2,1,random,304,history,1,1,r3-7,all,106260,6588,106260,106260,6588,26830,23392,3150
420,parity,2,2,1,random,304,history,1,1,r7-14,background,32015,0,32015,32015,0,6086,6086,0
420,parity,2,2,1,random,304,history,1,1,r7-14,ambiguous,18009,0,18009,18009,0,3813,3813,0
420,parity,2,2,1,random,304,history,1,1,r7-14,departure,56236,6588,56236,56236,6588,16931,13493,3150
420,parity,2,2,1,random,304,history,1,1,r7-14,all,106260,6588,106260,106260,6588,26830,23392,3150
