rule_a,rule_b,regime,density,activity,baseline,autonomy_r1,autonomy_r2,autonomy_r3
11,121,crystalline,0.6625,0.215,0.6625,0.8101,0.8277,0.8751
40,84,crystalline,0.245,0.0,0.755,1.0,1.0,1.0
120,139,crystalline,0.385,0.23,0.615,0.7775,0.8125,0.8924
45,215,crystalline,0.735,0.0,0.735,1.0,1.0,1.0
12,77,crystalline,0.115,0.0,0.885,1.0,1.0,1.0
190,248,crystalline,0.0,0.0,1.0,1.0,1.0,1.0
65,175,crystalline,0.675,0.0,0.675,1.0,1.0,1.0
7,186,crystalline,0.2075,0.115,0.7925,0.885,0.8949,0.9049
39,80,crystalline,0.64,0.0,0.64,1.0,1.0,1.0
67,159,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
68,128,crystalline,0.0,0.0,1.0,1.0,1.0,1.0
157,185,crystalline,0.385,0.22,0.615,0.78,0.815,0.83
16,111,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
32,225,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
162,163,crystalline,0.2,0.23,0.8,0.93,1.0,1.0
5,39,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
178,185,crystalline,0.32,0.26,0.68,0.7949,0.7949,0.8049
22,207,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
193,202,crystalline,0.2617,0.05,0.7383,0.95,0.9583,0.9683
32,161,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
186,229,crystalline,0.215,0.0,0.785,1.0,1.0,1.0
5,196,crystalline,0.215,0.31,0.785,0.9026,0.9225,0.945
50,250,crystalline,0.18,0.18,0.82,0.8775,0.9125,0.9175
171,245,crystalline,0.295,0.0,0.705,1.0,1.0,1.0
62,251,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
70,96,crystalline,0.24,0.0,0.76,1.0,1.0,1.0
95,218,crystalline,0.495,0.22,0.505,0.8,0.805,0.8225
4,99,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
192,196,crystalline,0.0,0.0,1.0,1.0,1.0,1.0
50,215,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
141,217,crystalline,0.315,0.0,0.685,1.0,1.0,1.0
10,209,crystalline,0.415,0.0,0.585,1.0,1.0,1.0
216,234,crystalline,0.0,0.0,1.0,1.0,1.0,1.0
144,226,crystalline,0.125,0.0,0.875,1.0,1.0,1.0
78,86,crystalline,0.41,0.0,0.59,1.0,1.0,1.0
53,95,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
208,224,crystalline,0.0,0.0,1.0,1.0,1.0,1.0
96,223,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
17,187,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
2,147,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
25,127,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
48,63,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
11,157,crystalline,0.775,0.0,0.775,1.0,1.0,1.0
83,224,crystalline,0.13,0.1,0.87,0.9374,0.9424,0.9474
217,222,crystalline,0.2,0.0,0.8,1.0,1.0,1.0
24,34,crystalline,0.285,0.0,0.715,1.0,1.0,1.0
162,177,crystalline,0.11,0.0,0.89,1.0,1.0,1.0
66,215,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
18,255,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
8,116,crystalline,0.285,0.0,0.715,1.0,1.0,1.0
173,247,crystalline,0.21,0.0,0.79,1.0,1.0,1.0
164,196,crystalline,0.105,0.0,0.895,1.0,1.0,1.0
224,236,crystalline,0.0,0.0,1.0,1.0,1.0,1.0
71,81,crystalline,0.725,0.0,0.725,1.0,1.0,1.0
178,224,crystalline,0.23,0.0,0.77,1.0,1.0,1.0
63,101,crystalline,0.775,0.0,0.775,1.0,1.0,1.0
66,135,crystalline,0.81,0.0,0.81,1.0,1.0,1.0
80,139,crystalline,0.4,0.0,0.6,1.0,1.0,1.0
190,249,crystalline,0.0,0.0,1.0,1.0,1.0,1.0
236,243,crystalline,0.0,0.0,1.0,1.0,1.0,1.0
20,53,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
24,255,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
71,247,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
1,117,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
128,212,crystalline,0.0,0.0,1.0,1.0,1.0,1.0
95,107,crystalline,0.755,0.0,0.755,1.0,1.0,1.0
76,95,crystalline,0.745,0.0,0.745,1.0,1.0,1.0
8,23,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
6,153,crystalline,0.66,0.06,0.66,0.94,0.97,0.9875
111,214,crystalline,0.53,0.18,0.53,0.82,0.8325,0.8775
1,193,crystalline,0.93,0.0,0.93,1.0,1.0,1.0
162,178,crystalline,0.23,0.0,0.77,1.0,1.0,1.0
68,230,crystalline,0.285,0.0,0.715,1.0,1.0,1.0
38,183,crystalline,0.9,0.0,0.9,1.0,1.0,1.0
31,96,crystalline,0.915,0.0,0.915,1.0,1.0,1.0
43,91,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
132,168,crystalline,0.0,0.0,1.0,1.0,1.0,1.0
145,171,crystalline,0.3325,0.185,0.6675,0.815,0.8599,0.8925
19,109,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
154,241,crystalline,0.1325,0.115,0.8675,0.9425,0.9775,0.9825
17,248,crystalline,0.095,0.08,0.905,0.9575,0.9575,0.9625
25,232,crystalline,0.3725,0.315,0.6275,0.7674,0.81,0.8475
12,63,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
79,82,crystalline,0.72,0.0,0.72,1.0,1.0,1.0
54,126,crystalline,0.645,0.29,0.645,0.7924,0.87,0.9
48,227,crystalline,0.525,0.0,0.525,1.0,1.0,1.0
16,167,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
50,147,crystalline,0.505,0.0,0.505,1.0,1.0,1.0
176,187,crystalline,0.09,0.0,0.91,1.0,1.0,1.0
5,242,crystalline,0.13,0.1,0.87,0.945,0.9525,0.9601
207,220,crystalline,0.25,0.0,0.75,1.0,1.0,1.0
12,84,crystalline,0.32,0.0,0.68,1.0,1.0,1.0
54,91,crystalline,0.68,0.0,0.68,1.0,1.0,1.0
51,223,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
138,220,crystalline,0.265,0.0,0.735,1.0,1.0,1.0
4,140,crystalline,0.05,0.0,0.95,1.0,1.0,1.0
196,205,crystalline,0.07,0.0,0.93,1.0,1.0,1.0
81,113,crystalline,0.185,0.15,0.815,0.885,1.0,1.0
115,184,crystalline,0.395,0.0,0.605,1.0,1.0,1.0
115,155,crystalline,0.725,0.0,0.725,1.0,1.0,1.0
17,231,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
83,151,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
81,244,crystalline,0.315,0.0,0.685,1.0,1.0,1.0
193,206,crystalline,0.3325,0.045,0.6675,0.955,0.96,0.98
86,191,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
35,179,crystalline,0.425,0.0,0.575,1.0,1.0,1.0
63,66,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
29,160,crystalline,0.4025,0.165,0.5975,0.835,0.8623,0.8725
16,234,crystalline,0.105,0.0,0.895,1.0,1.0,1.0
191,227,crystalline,0.12,0.0,0.88,1.0,1.0,1.0
125,255,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
205,251,crystalline,0.0,0.0,1.0,1.0,1.0,1.0
