m,w,area,a,b,k,u,v,rule,physical_flips
1,4,4,0,1,1,1,0,0,1
1,4,4,0,2,1,1,0,0,1
1,4,4,0,4,1,1,0,0,1
1,4,4,0,8,1,1,0,0,1
1,4,4,1,0,1,1,0,255,1
1,4,4,2,0,1,1,0,255,1
1,4,4,4,0,1,1,0,255,1
1,4,4,7,15,1,1,0,255,1
1,4,4,8,0,1,1,0,255,1
1,4,4,11,15,1,1,0,255,1
1,4,4,13,15,1,1,0,255,1
1,4,4,14,15,1,1,0,255,1
1,4,4,15,7,1,1,0,0,1
1,4,4,15,11,1,1,0,0,1
1,4,4,15,13,1,1,0,0,1
1,4,4,15,14,1,1,0,0,1
1,4,4,0,1,2,-2,0,0,1
1,4,4,0,2,2,-2,0,0,1
1,4,4,0,4,2,-2,0,0,1
1,4,4,0,5,2,-2,0,192,2
1,4,4,0,8,2,-2,0,0,1
1,4,4,0,10,2,-2,0,192,2
1,4,4,1,0,2,-2,0,255,1
1,4,4,2,0,2,-2,0,255,1
1,4,4,4,0,2,-2,0,255,1
1,4,4,5,0,2,-2,0,252,2
1,4,4,5,15,2,-2,0,252,2
1,4,4,7,15,2,-2,0,255,1
1,4,4,8,0,2,-2,0,255,1
1,4,4,10,0,2,-2,0,252,2
1,4,4,10,15,2,-2,0,252,2
1,4,4,11,15,2,-2,0,255,1
1,4,4,13,15,2,-2,0,255,1
1,4,4,14,15,2,-2,0,255,1
1,4,4,15,5,2,-2,0,192,2
1,4,4,15,7,2,-2,0,0,1
1,4,4,15,10,2,-2,0,192,2
1,4,4,15,11,2,-2,0,0,1
1,4,4,15,13,2,-2,0,0,1
1,4,4,15,14,2,-2,0,0,1
1,4,4,0,1,2,-1,0,0,1
1,4,4,0,2,2,-1,0,0,1
1,4,4,0,4,2,-1,0,0,1
1,4,4,0,8,2,-1,0,0,1
1,4,4,1,0,2,-1,0,255,1
1,4,4,2,0,2,-1,0,255,1
1,4,4,4,0,2,-1,0,255,1
1,4,4,7,15,2,-1,0,255,1
1,4,4,8,0,2,-1,0,255,1
1,4,4,11,15,2,-1,0,255,1
1,4,4,13,15,2,-1,0,255,1
1,4,4,14,15,2,-1,0,255,1
1,4,4,15,7,2,-1,0,0,1
1,4,4,15,11,2,-1,0,0,1
1,4,4,15,13,2,-1,0,0,1
1,4,4,15,14,2,-1,0,0,1
1,4,4,0,1,2,0,0,0,1
1,4,4,0,2,2,0,0,0,1
1,4,4,0,3,2,0,0,204,2
1,4,4,0,4,2,0,0,0,1
1,4,4,0,6,2,0,0,204,2
1,4,4,0,8,2,0,0,0,1
1,4,4,0,12,2,0,0,204,2
1,4,4,0,15,2,0,0,204,4
1,4,4,1,0,2,0,0,255,1
1,4,4,2,0,2,0,0,255,1
1,4,4,3,0,2,0,0,204,2
1,4,4,3,12,2,0,0,204,4
1,4,4,3,15,2,0,0,204,2
1,4,4,4,0,2,0,0,255,1
