n,A,B,h,observation,initial_states,action_words,noncommuting_states,sum_prepared_hamming,different_sets,equal_sets,unequal_sizes,equal_size_different_sets,AB_strict_subset_BA,BA_strict_subset_AB,incomparable_sets,changed_response_maps,equal_sets_different_maps,different_prepared_equal_sets,different_word_endpoints,sum_repertoire_AB,sum_repertoire_BA,min_repertoire_AB,max_repertoire_AB,min_repertoire_BA,max_repertoire_BA,mean_jaccard_distance
6,0,184,3,population_count,64,8,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,4,identity,64,16,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,4,population_count,64,16,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,5,identity,64,32,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,5,population_count,64,32,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,6,identity,64,64,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,184,6,population_count,64,64,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,0,identity,64,1,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,0,population_count,64,1,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,1,identity,64,2,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,1,population_count,64,2,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,2,identity,64,4,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,2,population_count,64,4,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,3,identity,64,8,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,3,population_count,64,8,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,4,identity,64,16,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,4,population_count,64,16,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,5,identity,64,32,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,5,population_count,64,32,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,6,identity,64,64,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,204,6,population_count,64,64,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,0,identity,64,1,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,0,population_count,64,1,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,1,identity,64,2,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,1,population_count,64,2,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,2,identity,64,4,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,2,population_count,64,4,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,3,identity,64,8,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,3,population_count,64,8,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,4,identity,64,16,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,4,population_count,64,16,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,5,identity,64,32,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,5,population_count,64,32,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,6,identity,64,64,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,0,250,6,population_count,64,64,0,0,0,64,0,0,0,0,0,0,0,0,0,64,64,1,1,1,1,0.0
6,4,30,0,identity,64,1,54,144,54,10,0,54,0,0,54,54,0,0,54,64,64,1,1,1,1,0.84375
6,4,30,0,population_count,64,1,54,144,54,10,0,54,0,0,54,54,0,0,54,64,64,1,1,1,1,0.84375
6,4,30,1,identity,64,2,54,144,51,13,39,12,0,18,33,51,0,3,84,94,97,1,2,1,2,0.65625
6,4,30,1,population_count,64,2,54,144,51,13,39,12,0,18,33,51,0,3,78,94,97,1,2,1,2,0.625
6,4,30,2,identity,64,4,54,144,51,13,51,0,21,18,12,51,0,3,144,124,160,1,3,1,4,0.5640625
6,4,30,2,population_count,64,4,54,144,51,13,39,12,21,18,12,51,0,3,144,124,130,1,3,1,3,0.5
6,4,30,3,identity,64,8,54,144,51,13,45,6,21,18,12,51,0,3,234,172,214,1,5,1,6,0.6016369047619048
6,4,30,3,population_count,64,8,54,144,51,13,39,12,21,18,12,51,0,3,234,148,160,1,4,1,4,0.5453125000000001
6,4,30,4,identity,64,16,54,144,51,13,51,0,21,18,12,51,0,3,396,244,286,1,8,1,9,0.6363636363636365
6,4,30,4,population_count,64,16,54,144,45,19,45,0,21,18,6,51,6,9,396,172,184,1,5,1,5,0.515625
6,4,30,5,identity,64,32,54,144,51,13,51,0,21,18,12,51,0,3,654,316,358,1,11,1,12,0.6532670454545455
6,4,30,5,population_count,64,32,54,144,45,19,45,0,21,18,6,51,6,9,654,172,184,1,5,1,5,0.515625
6,4,30,6,identity,64,64,54,144,51,13,45,6,21,18,12,51,0,3,1092,412,430,1,15,1,15,0.6479295665634676
6,4,30,6,population_count,64,64,54,144,51,13,51,0,21,30,0,51,0,3,1092,196,184,1,6,1,5,0.5218750000000001
6,4,51,0,identity,64,1,62,288,62,2,0,62,0,0,62,62,0,0,62,64,64,1,1,1,1,0.96875
6,4,51,0,population_count,64,1,62,288,62,2,0,62,0,0,62,62,0,0,62,64,64,1,1,1,1,0.96875
6,4,51,1,identity,64,2,62,288,62,2,29,33,20,0,42,62,0,0,89,99,128,1,2,2,2,0.734375
6,4,51,1,population_count,64,2,62,288,62,2,29,33,20,0,42,62,0,0,89,97,126,1,2,1,2,0.671875
6,4,51,2,identity,64,4,62,288,42,22,42,0,0,9,33,62,20,20,143,194,161,2,4,2,3,0.46640625
6,4,51,2,population_count,64,4,62,288,42,22,42,0,0,21,21,62,20,20,143,192,159,1,4,1,3,0.35703125
6,4,51,3,identity,64,8,62,288,42,22,24,18,9,9,24,62,20,20,230,200,194,2,5,2,4,0.37500000000000006
6,4,51,3,population_count,64,8,62,288,30,34,24,6,9,9,12,62,32,32,230,198,192,1,5,1,4,0.25
6,4,51,4,identity,64,16,62,288,42,22,30,12,9,15,18,62,20,20,383,206,200,2,6,2,5,0.34375
6,4,51,4,population_count,64,16,62,288,30,34,30,0,9,15,6,62,32,32,383,204,198,1,6,1,5,0.21875
6,4,51,5,identity,64,32,62,288,42,22,30,12,15,15,12,62,20,20,641,206,206,2,6,2,6,0.328125
6,4,51,5,population_count,64,32,62,288,30,34,30,0,15,15,0,62,32,32,641,204,204,1,6,1,6,0.203125
6,4,51,6,identity,64,64,62,288,42,22,30,12,15,15,12,62,20,20,1082,206,206,2,6,2,6,0.328125
6,4,51,6,population_count,64,64,62,288,30,34,30,0,15,15,0,62,32,32,1082,204,204,1,6,1,6,0.203125
6,4,54,0,identity,64,1,56,168,56,8,0,56,0,0,56,56,0,0,56,64,64,1,1,1,1,0.875
6,4,54,0,population_count,64,1,56,168,56,8,0,56,0,0,56,56,0,0,56,64,64,1,1,1,1,0.875
6,4,54,1,identity,64,2,56,168,51,13,51,0,0,30,21,51,0,5,72,94,85,1,2,1,2,0.5625
6,4,54,1,population_count,64,2,56,168,51,13,51,0,0,30,21,51,0,5,72,94,85,1,2,1,2,0.5625
6,4,54,2,identity,64,4,56,168,51,13,51,0,21,30,0,51,0,5,114,124,118,1,3,1,4,0.5468750000000001
6,4,54,2,population_count,64,4,56,168,51,13,51,0,21,30,0,51,0,5,114,124,118,1,3,1,4,0.5468750000000001
6,4,54,3,identity,64,8,56,168,51,13,51,0,21,30,0,51,0,5,168,154,130,1,4,1,5,0.5953125
6,4,54,3,population_count,64,8,56,168,51,13,51,0,21,30,0,51,0,5,168,154,130,1,4,1,5,0.5953125
6,4,54,4,identity,64,16,56,168,51,13,51,0,21,30,0,51,0,5,264,184,130,1,5,1,5,0.6187499999999999
